阿胶	［同］驴皮胶 
凹进	［同］凹下 陷 隐 凹隐 
凹面镜	［反］凸面镜 
凹透镜	［反］凸透镜 
凹凸不平	［同］高低不平 坑坑洼洼 高高低低 凹凹凸凸 
凹下	［同］陷 隐 凹隐 凹进 
凹陷	［同］下陷 洼陷 低洼 凹 
凹陷	［反］凸起 突出 
凹隐	［同］凹进 凹下 陷 隐 
熬	［同］炖 煮 烧 咕嘟 
熬粥	［同］馇粥 煲粥 
翱翔	［同］回翔 展翅 飞 飞翔 
傲晲万物	［同］睥睨 
傲慢	［同］骄慢 高慢 骄傲 倨傲  ［反］谦虚 虚心  
傲气	［同］骄气 
傲世出尘	［同］遗世独立 超然物外 富贵浮云 孤芳自赏 
奥草	［同］杂草 草茅 荒草 野草 
奥秘	［同］隐秘 隐私 秘密 秘事 
奥妙	［同］诀窍 诀要 窍门 秘诀 
懊	［同］自怨自艾 吃后悔药 悔不当初 悔之不及 
懊悔	［同］嗟悔 追悔 后悔 失悔 
捌	［同］八 
扒1	［同］扒搂 扒拉 
扒2	［同］拨动 拨拉 拨 
扒3	［同］揭 剥 
扒4	［同］卸 脱衣 脱 褪 
扒糕	［同］糕 蛋糕 花糕 云片糕 
扒拉	［同］扒 扒搂 
扒搂	［同］扒拉 扒 
扒手	［同］鸡鸣狗盗 惯贼 惯窃 惯偷 
八	［同］捌 
八拜之交	［同］把兄弟 盟兄弟 换帖弟兄 结拜弟兄 
八宝菜	［反］八宝饭 
八宝饭	［反］八宝菜 
八方	［同］四处 四外 四下里 四方 
八分1	［同］汉隶 
八分2	［同］差不多 
八面玲珑	［同］随风倒 随波逐流 见风使舵 鉴貌辨色 
八面四方	［同］四面八方 
八面威风	［同］英姿飒爽 英姿焕发 英姿勃勃 威风凛凛 
八一	［同］八一建军节 建军节 
八一建军节	［同］建军节 八一 
八月节	［同］团圆节 月夕 中秋 中秋节 
巴不得	［同］渴望 热望 切望 切盼 
拔步	［同］拔腿 拔脚 举步 动脚 
拔除	［同］祛除 除 摒除 摈除 
拔刀相助	［反］见死不救 袖手旁观 冷眼旁观 隔岸观火 
拔高	［同］提高 增高 ［反］压低 
拔脚	［同］举步 动脚 拔步 拔腿 
拔锚	［反］抛锚 
拔取1	［同］挑选 选拔 简拔 甄拔 
拔取2	［同］挑选 遴选 选拔 
拔山举鼎	［反］弱不禁风 弱不胜衣 
拔腿	［同］拔脚 举步 动脚 拔步 
拔优	［同］奖进 奖掖 奖挹 奖借 
跋	［同］跋文 后记 
跋前踬后	［同］不上不下 进退两难 进退维谷 羝羊触藩 
跋文	［同］后记 跋 
跋扈	［同］横暴 蛮横 强横 霸道  
靶	［反］箭 矢 
靶子	［同］东西 对象 目标 
把臂	［同］握手 拉手 搀手 
把柄	［同］辩子 小辫子 有拿手 
把持	［同］垄断 据 占据 独占 
把儿	［同］把手 把子 耳子 把 
把风	［同］观风 巡风 望风 
把关	［同］审定 核准 
把酒	［同］把盏 持觞 振臂 举杯 
把脉	［同］诊脉 号脉 评脉 切脉 
把手	［同］把子 耳子 把 把儿 
把握	［同］把 
把戏1	［同］杂耍 百戏 玩意儿 杂技 
把戏2	［同］噱头 花招 
霸道	［同］跋扈 横暴 蛮横 强横 ［反］王道 
罢	［反］任 授 拜 
罢工	［反］复工 
罢官	［反］任命 任用 委任 
罢官1	［同］罢黜 黜免 罢免 黜退 
罢官2	［同］挂误 丢官 去官 免职 
罢课	［反］复课 
罢了1	［同］罢休 
罢了2	［同］而已 便了 耳 
罢免	［反］任命 任用 委任 
罢免1	［同］罢官 罢黜 黜免 黜退 
罢免2	［同］豁免 免去 解除 免除 
罢休	［同］罢了 
罢职	［同］撤职 撤差 革职 免职 
罢职	［反］复职 
罢黜	［同］黜免 罢免 黜退 罢官 
白	［反］黑 皂 
白1	［同］白眼 
白2	［同］方言 土语 土话 地方话 
白晳	［反］黝黑 
白案	［反］红案 
白斑病	［同］白癫风 
白班	［反］夜班儿 
白报纸	［同］新闻纸 宣纸 苕纸 报纸 
白炽	［同］白热 白光 
白带	［反］赤带 
白发	［同］浩发 鹤发 
白匪	［反］红军 
白费力气	［同］枉费心机 空费 空耗 
白粉	［同］海洛因 白面儿 
白粉病	［反］黑粉病 
白干儿	［同］白酒 烧酒 
白话	［反］文言 
白话诗	［反］格律诗 
白话文	［反］文言文 
白话文	［同］语体文 
白晃晃	［反］黑油油 
白净	［反］黝黑 
白驹过隙	［反］度日如年 一日三秋 
白军	［反］红军 
白开水	［同］白水 热水 开水 滚水 
白口	［反］黑口 
白浪滔滔	［同］浊浪滔天 波浪滔天 波涛汹涌 波涛滚滚 
白痢	［反］赤痢 
白米	［反］糙米 
白米	［同］籼米 机米 米 大米 
白面1	［同］面 米面 面粉 
白面2	［同］面粉 
白面儿	［同］白粉 海洛因 
白面面	［同］米面 面粉 
白木耳	［同］灵芝 鬼笔 狗尿苔 银耳 
白内障	［同］圆翳内障 内障 
白砒	［同］红砒 信石 砒霜 
白切鸡	［同］白斩鸡 白鸡 
白热	［同］白光 白炽 
白日作梦	［同］胡思乱想 空想 玄想 幻想 
白色	［反］红色 
白色人种	［反］有色人种 
白事	［同］后事 丧事 
白薯	［同］芋头 甘薯 番薯 地瓜 红苕 
白水	［同］热水 开水 滚水 白开水 
白糖	［同］绵白糖 砂糖 方糖 
白糖	［反］红糖 
白天	［同］白昼 旦昼 日间 昼 ［反］夜里 夜间 晚上 夜晚 
白头	［同］皓首 华首 华颠 
白头偕老	［同］琴瑟 鸾凤和鸣 鸳鸯戏水 夫唱妇随 
白文	［反］朱文 
白血球	［反］红血球 
白眼	［反］青眼 
白眼	［同］白 
白眼珠	［同］眼白 
白眼珠	［反］黑眼珠 
白昼	［同］旦昼 日间 昼 白天 
白字	［同］别字 
白字	［反］正字 
白璧微暇	［反］白璧无瑕 
白璧无暇	［同］一清二白 一尘不染 纤尘不染 冰清玉洁 
白璧无暇	［反］白璧微瑕 
柏油	［同］沥青 地沥青 臭油 
百	［同］佰 ［反］一 
百般	［同］百倍 
百般无奈	［同］迫不得已 万不得已 无奈 无可奈何 
百倍	［同］百般 
百川沸腾	［同］波浪翻腾 白浪翻滚 大江滚滚东去 
百废待兴	［反］百废具兴 
百废具兴	［反］百废待兴 
百分比	［同］复比 单比 
百分之百	［同］不折不扣 原原本本 一五一十 连头带尾 
百感交集	［同］激动 冲动 兴奋 心潮澎湃 
百谷	［同］粮食作物 五谷 庄稼 谷物 
百花开放	［同］百花盛开 百花齐放 
百花齐放	［同］百花开放 百花盛开 
百花盛开	［同］百花齐放 百花开放 
百货	［同］小百货 杂货 
百货店	［同］百货公司 综合商店 杂货店 
百货公司	［同］综合商店 杂货店 百货店 
百家争鸣	［反］万马齐喑 
百科辞典	［同］百科全书 药典 词典 字典 
百科全书	［同］药典 词典 字典 百科辞典 
百孔千疮	［反］万紫千红 春色满园 
百窟千疮	［同］千疮百孔 窟窟窿窿 
百年1	［同］世纪 
百年2	［同］一生一世 没世 终天  
百年大计	［反］权宜之计 
百年之后	［同］千秋之后 死后 身后 
百事通	［同］万事通 能工巧匠 多面手 通才 
百思不解	［反］大惑不解 
百无禁忌	［同］不遮不盖 直截了当 开门见山 单刀直入 
百无一是	［同］破绽百出 错误百出 大错特错 一无是处 
百戏	［同］玩意儿 杂技 把戏 杂耍 
百响	［同］花盒 鞭炮 鞭爆 鞭 
百姓	［反］官吏 
百叶	［同］千张 
百依百顺	［同］与人无争 ［反］桀骜不驯 
百折不挠	［同］威武不屈 坚强不屈 坚贞不屈 宁死不屈 ［反］卑躬屈膝 屈节辱命 
百衲衣	［同］僧衣 法衣 法袍 袈裟 
摆1	［同］摆门面 摆样子 摆谱儿 摆阔 
摆2	［同］布置 陈设 摆设 摆布 
摆3	［同］陈列 陈放 罗列 
摆布	［同］摆弄 播弄 团弄 掇弄 
摆动	［同］晃动 摇 摇动 撼动 
摆格	［同］摆架子 拿架子 搭架子 端架子 
摆划	［同］筹算 计划 筹划 规划 
摆架子	［同］拿架子 搭架子 端架子 摆格 
摆阔	［同］摆 摆门面 摆样子 摆谱儿 
摆老资格	［同］卖老 倚老卖老 
摆擂台	［同］打擂台 见高下 见高低 
摆龙门阵	［同］拉家常 话家常 扯家常 叙家常 
摆门面	［同］摆样子 摆谱儿 摆阔 摆 
摆弄1	［同］播弄 团弄 掇弄 摆布 
摆弄2	［同］弄 调弄 拨弄 搬弄 
摆谱儿	［同］摆阔 摆 摆门面 摆样子 
摆设1	［同］摆布 摆 布置 陈设 
摆设2	［同］陈设 摆设品 
摆设品	［同］摆设 陈设 
摆手	［同］招手 招 
摆摊儿	［反］收摊儿 
摆脱	［反］隐入 
摆样子	［同］摆谱儿 摆阔 摆 摆门面 
摆子	［同］冷热病 疟疾 疟子 
摆噱头	［同］耍花招 耍花腔 使花着 掉枪花 
佰	［同］百 
败	［反］成 
败北	［同］战败 失败 打败 败阵而逃 
败兵	［同］溃兵 乱兵 残兵 残卒 
败坏	［同］损坏 糟蹋 破坏 
败火	［同］解渴 解乏 ［反］上火 
败家子	［反］守财奴 
败将	［同］败军之将 
败局	［同］死棋 危局 危亡 
败军之将	［同］败将 
败类	［同］坏人 歹人 歹徒 
败露	［同］东窗事发 
败落	［同］破落 中落 衰落 没落 
败事	［同］误事 帮倒忙 成事不足 败事有余 坏事 ［反］成事 
败兴	［同］兴致索然 扫兴 ［反］高兴 乘兴 
败叶	［同］枯叶 
败仗	［反］胜仗 
败阵而逃	［同］败北 战败 失败 打败 
败子回头	［同］浪子回头 回头是岸 今是昨非 放下屠刀 立地成佛 
拜	［反］免 罢 撤 
拜拜	［同］万福 
拜别	［同］拜辞 告别 告辞 辞别 
拜辞1	［同］告别 告辞 辞别 拜别 
拜辞2	［同］失陪 少陪 告退 告辞 
拜祷	［同］祷告 祷祝 祈祷 祝祷 
拜访1	［同］拜会 造访 走访 访问 
拜访2	［同］上门 
拜会	［同］造访 走访 访问 拜访 
拜年	［同］恭贺新禧 贺年 
拜扫	［同］省墓 扫墓 上坟 上冢 
拜师	［同］受教 受业 从师 投师 
拜寿	［同］祝寿 上寿 
拜堂	［同］拜天地 圆房 办喜事 结合 
拜天地	［同］圆房 办喜事 结合 拜堂 
拜托	［同］求情 讨情 说项 美言 请求 
拜谒	［同］谒 瞻仰 参谒 参见 
拜忏	［同］礼忏 顶礼膜拜 礼拜 
稗史	［反］正史 
斑纹	［同］花纹 条纹 
班1	［同］伙 群 帮 帮子 
班2	［同］趟 次 
班3	［同］行列 行 列 排 
班次	［同］航次 等次 名次 车次 
班门弄斧	［同］布鼓雷门 关公面前舞大刀 圣人面前卖斯文 
班子1	［同］班 剧团 
班子2	［同］架子 
搬动	［同］挪动 移动 挪移 移 
搬家	［同］挪窝儿 迁居 移居 乔迁 
搬教条	［同］生搬硬套 生吞活剥 照搬 
搬弄1	［同］摆弄 弄 调弄 拨弄 
搬弄2	［同］表现 卖弄 卖嘴 咋呼 
搬弄是非	［同］遇事生风 调嘴学舌 调三窝四 挑拨离间 
搬迁	［同］徙 迁 迁移 迁徙 
搬运夫	［同］搬运工 
搬运工	［同］搬运夫 
扳	［同］搂 扳动 
扳不倒儿	［同］不倒翁 
扳动	［同］扳 搂 
般配	［同］匹配 配合 相配 比配 
颁布	［同］发表 宣布 发布 公布 
颁发	［同］发出 下命令 发 
颁奖	［同］发奖 授奖 
颁行	［同］厉行 试行 躬行 
板	［反］活 
板1	［同］板结 板实 
板2	［同］点子 节拍 拍子 板眼 
板3	［同］刻板 古板 呆板 死 
板结	［同］板实 板 
板结	［反］疏松 
板脸	［同］绷脸 虎起脸 冷脸子 
板实	［同］板 板结 
板眼	［同］板 点子 节拍 拍子 
板子	［同］木板 
版次	［同］印次 校次 
版式	［同］法式 格式 体式 程式 
版税	［同］稿费 稿酬 
扮	［同］装扮 串演 扮演 饰演 
扮戏	［同］化装 扮装 装扮 假扮 
扮相	［同］装束 打扮 妆饰 
扮演	［同］饰演 扮 装扮 串演 
扮装	［同］装扮 假扮 扮戏 化装 
拌和	［同］搅和 搅动 搅 搅拌 
伴郎	［同］女傧相 喜娘 ［反］伴娘 
伴娘	［反］伴郎 
伴同	［同］随同 陪伴 陪同 
伴星	［反］主星 
伴音	［同］立体声 和声 
瓣	［同］花瓣 
半1	［同］两 稀 寡 鲜 
半2	［同］中期 中叶 中 
半百	［同］知命 五十岁 
半半拉拉	［同］一半 半掩 
半辈子	［反］一生 一世 一辈子 
半备子	［同］半生 半世 
半壁江山	［同］残山剩水 剩水残山 残土 孤岛 
半臂	［同］背心 马甲 坎肩 号坎儿 
半成品	［同］粗制品 半制品 
半导体	［同］超导体 导体 
半道	［同］半路 路上 中线 半途 
半吊子	［同］二把刀 万金油 半瓶醋 二百五 
半懂不懂	［同］半明半暗 半新半旧 
半工半读	［同］勤工俭学 
半价	［反］原价 
半价	［同］特价 
半斤八两	［同］齐名 
半径	［反］直径 
半空	［同］半空中 中天 
半空中	［同］中天 半空 
半劳动力	［反］整劳动力 
半流体	［同］液体 气体 流体 
半路1	［同］半途 中途 中道 
半路2	［同］路上 中线 半途 半道 
半路成家	［同］荒疏 生疏 生 外行 
半路出家	［反］科班出身 
半明半暗1	［同］半新半旧 半懂不懂 
半明半暗2	［同］影影绰绰 模糊不清 糊里糊涂 若明若暗 
半票	［反］整票 
半瓶醋	［同］二百五 半吊子 二把刀 万金油 
半晌	［同］半天 
半生	［同］半世 半备子 ［反］一生 一世 一辈子 
半生不熟	［同］生 生涩 夹生 青 
半世	［同］半备子 半生 ［反］一生 一世 一辈子 
半世坎坷	［同］好事多磨 事与愿违 横生枝节 节外生枝 
半天	［同］半晌 
半途1	［同］半道 半路 路上 中线 
半途2	［同］中途 中道 半路 
半途而废	［同］戛然而止 中断 中止 停顿 ［反］寒暑无间 持之以恒 坚持不懈 锲而不舍 水滴石穿 磨杵成针 
半文不值	［同］沧海一粟 太仓一粟 九牛一毛 一钱不值 
半新半旧	［同］半懂不懂 半明半暗 
半信半疑	［同］疑信参半 将信将疑 ［反］坚信不疑 确信不疑 
半掩	［同］半半拉拉 一半 
半夜	［同］夜半 三更 子夜 午夜 ［反］中午 正午 晌午 日中 
半夜三更	［同］夜深人静 夜阑更深 三更半夜  ［反］大天白日 
半音	［反］全音 
半圆形	［同］弧形 拱形 
半月形	［同］月牙形 弯月形 新月形 钩月形 
半制品	［同］半成品 粗制品 
半子	［同］东床 女婿 婿 子婿 
半自动	［同］自动 机动 电动 机关 
办1	［同］设立 设置 开设 开办 
办2	［同］做 作 干 办理 
办差	［同］办公事 办公 
办法	［同］主意 章程 方法 法子 
办公	［同］办差 办公事 
办公事	［同］办公 办差 
办好	［同］做好 搞好 
办理	［同］办 做 作 干 
办事	［同］做事 
办事员	［同］秘书 文书 
办喜事	［同］结合 拜堂 拜天地 圆房 
办葬事	［同］治丧 发丧 开吊 丧葬 
绊脚石	［同］阻力 阻碍 障碍 拦路虎 
邦交	［同］国交 
邦禁	［同］海禁 
帮1	［同］帮子 班 伙 群 
帮2	［同］壁 
帮3	［同］相辅 提挈 助 
帮办	［同］下手 帮手 羽翼 僚佐 ［反］主管 
帮补	［同］搭补 帮衬 捐助 资助 
帮衬	［同］捐助 资助 帮补 搭补  
帮倒忙1	［同］抱薪救火 弄巧成拙 适得其反 事与愿违 
帮倒忙2	［同］成事不足 败事有余 坏事 败事 误事 
帮工1	［同］打零工 替工 
帮工2	［同］替工 
帮腔1	［同］撑腰 支持 
帮腔2	［同］和 
帮手	［同］羽翼 僚佐 帮办 下手 
帮凶	［同］助桀为虐 为虎添翼 为虎作伥 ［反］主谋 罪魁 祸首 首恶 元恶 正凶 元凶 
帮助	［同］扶助 协助 赞助 援助 ［反］欺负 欺侮 
帮子	［同］班 伙 群 帮 
梆	［同］柝 梆子 
梆子1	［同］梆 柝 
梆子2	［同］梆子腔 
梆子腔	［同］梆子 
榜样1	［同］师表 模范 标兵 表率 
榜样2	［同］样板 样子 旗帜 模范 
膀	［同］浮肿 水肿 膀肿 肿 
膀肿	［同］肿 膀 浮肿 水肿 
膀胱	［同］尿泡 肫 舀囊 苦胆 
绑匪	［同］股匪 惯匪 劫持犯 
绑架	［同］绑票 劫持 
绑票	［同］劫持 绑架 
绑腿	［同］腿带 
棒	［同］棒子 
棒冰	［同］霜条 冰棍儿 冰糕 冰棒 
棒子	［同］棒 
棒子面	［同］玉米面 
磅秤	［同］台秤 案秤 秤 衡器 
傍人门户	［同］寄人篱下 俯仰由人 依草附木 ［反］自立门户 
傍晚	［同］黄昏 临暮 日暮 垂暮 ［反］黎明 拂晓 破晓 凌晨 
苞谷	［同］苞米 玉米 玉蜀栗 老玉米 
苞米	［同］玉米 玉蜀栗 老玉米 苞谷 
包	［同］裹 包裹 包装 封装 
包办	［同］代理 代劳 代疱 疱代 
包庇	［同］庇护 袒护 护短 庇荫 ［反］检举 
包抄	［同］迂回 抄袭 兜抄 
包袱	［同］负担 担子 
包干儿	［同］包工 
包工	［同］包干儿 
包管	［同］保险 管保 保管 管 
包裹1	［同］包装 封装 包 裹 
包裹2	［同］担子 挑子 担 驮子 
包含	［同］面含 包孕 带有 含有 
包涵	［同］包容 原谅 见谅 担待 
包金	［同］烫金 喷金 镏金 
包括	［同］囊括 包罗 牢笼 席卷 
包揽	［同］承包 包圆儿 承揽 兜揽 
包罗	［同］牢笼 席卷 包括 囊括 
包罗万象	［反］挂一漏万 
包皮	［同］倒刺 蛞 头皮 真皮 
包票	［同］保结 结 保单 保票 
包容1	［同］容 盛 容纳 容受 
包容2	［同］原谅 见谅 担待 包涵  
包围	［反］突围 
包围1	［同］包住 簇拥 前呼后拥 
包围2	［同］围困 合围 
包心菜	［同］卷心菜 洋白菜 
包圆儿	［同］承揽 兜揽 包揽 承包 
包孕	［同］带有 含有 包含 面含 
包扎	［同］扎绑 捆绑 绳捆索绑 捆扎 
包住	［同］簇拥 前呼后拥 包围 
包装	［同］封装 包 裹 包裹 
包装工	［同］保全工 装配工 
包子	［同］馒首 馍 卷子 馒头 
褒	［反］贬 
褒词	［同］褒义词 
褒奖	［反］责备 
褒奖1	［同］奖赏 记功 奖励 嘉奖 
褒奖2	［同］奖誉 奖饰 夸奖 叫好 
褒扬	［反］贬斥 
褒扬1	［同］称颂 赞扬 揄扬 颂扬 
褒扬2	［同］显扬 表彰 旌表 表扬 
褒义	［反］贬义 
褒义词	［反］贬义词 
褒义词	［同］褒词 
剥削	［同］盘剥 敲骨吸髓 残民自肥 
薄	［反］肥 活 
薄1	［同］淡 稀薄 淡薄 稀 
薄2	［同］厚度 厚薄 
薄3	［同］瘦 瘦瘠 贫瘠 贫薄 
薄晨	［同］黎明 凌晨 侵晨 迎晨 
薄脆	［同］麻花 萨其马 锅贴儿 烧卖 
薄刀	［同］铡刀 刀 刀子 刀儿 
薄德	［同］不仁 不义 无义 缺德 
薄地	［反］肥田 良田 肥地 沃土 
薄寒	［同］清寒 轻寒 
薄酒	［同］清酒 水酒 
薄礼	［同］薄献 菲仪 小意思 千里鹅毛 
薄禄	［同］五斗米 薄俸 
薄命1	［同］背运 厄运 灾星 苦命 
薄命2	［同］家门不幸 不祥 不吉 不吉利 
薄情	［反］多情 
薄弱	［同］懦弱 脆弱 软弱 
薄弱	［反］坚强 刚强 
薄舌	［同］尖嘴薄舌 轻口薄舌 贫嘴 
薄田	［反］肥田 良田 肥地 沃土 
薄献	［同］菲仪 小意思 千里鹅毛 薄礼 
薄行	［同］猥鄙 龌龊 见不得人 不检 
保不定	［同］保不齐 难保 难说 保不住 
保不齐	［同］难保 难说 保不住 保不定 
保不住	［同］保不定 保不齐 难保 难说 
保藏	［同］储藏 贮藏 收藏 珍藏 
保持	［同］维持 护持 维系 保全 
保存	［反］销毁 
保单	［同］保票 包票 保结 结 
保管	［同］管 包管 保险 管保 
保管员	［同］仓库管理员 
保护	［反］损坏 损害 伤害 损伤 破坏 
保护关税	［同］特惠关税 互惠关税 关税 
保护鸟	［同］候鸟 益鸟 害鸟 
保护伞	［同］隐身草 护身符 护符 
保价信	［同］明信片 航空信 平信 挂号信 
保荐	［同］保举 保送 选送 
保结	［同］结 保单 保票 包票 
保举	［同］保送 选送 保荐 
保留节目	［同］看家戏 拿手好戏 
保媒	［同］说亲 提亲 说媒 做媒 
